,ts,open,high,low,close,vol
0,1645201800000,40167.2,40415.3,39915.8,39930.9,421247
1,1645200000000,39835.8,40445.7,39430.6,40169.6,1176003
2,1645198200000,40281.0,40281.1,39642.9,39835.8,738597
3,1645196400000,40484.9,40800.0,40231.0,40281.0,614739
4,1645194600000,40370.5,40527.5,39637.0,40485.0,1213026
5,1645192800000,40385.6,40491.8,40279.0,40358.7,154713
6,1645191000000,40301.7,40448.2,40183.1,40385.5,196296
7,1645189200000,40440.5,40532.4,40217.5,40302.9,262936
8,1645187400000,40420.0,40472.5,40311.3,40440.6,128587
9,1645185600000,40185.2,40566.1,40078.5,40420.1,358466
10,1645183800000,40374.6,40416.6,40101.0,40185.1,382527
11,1645182000000,40787.5,40799.0,40270.4,40374.6,386232
12,1645180200000,40753.1,40847.6,40694.7,40787.5,76049
13,1645178400000,40860.4,40860.4,40688.8,40753.1,107667
14,1645176600000,40825.1,40907.1,40822.1,40860.3,70949
15,1645174800000,40855.1,40891.3,40758.6,40825.0,120540
16,1645173000000,40680.0,40961.9,40675.0,40855.1,181072
17,1645171200000,40651.8,40752.8,40645.1,40680.0,97220
18,1645169400000,40575.0,40667.8,40556.6,40651.8,72756
19,1645167600000,40713.5,40765.9,40548.5,40575.0,129341
20,1645165800000,40634.6,40746.4,40580.0,40713.3,79849
21,1645164000000,40626.3,40678.7,40576.1,40634.7,78194
22,1645162200000,40608.5,40700.0,40597.0,40626.3,83447
23,1645160400000,40510.6,40618.9,40489.5,40608.4,76311
24,1645158600000,40715.0,40783.6,40485.8,40509.1,137625
25,1645156800000,40686.3,40749.1,40600.0,40715.0,73865
26,1645155000000,40678.6,40708.8,40575.3,40686.4,65575
27,1645153200000,40761.8,40771.2,40575.6,40678.7,98255
28,1645151400000,40723.6,40770.3,40666.7,40763.0,80616
29,1645149600000,40782.7,40891.0,40660.9,40723.6,130548
30,1645147800000,40367.0,40935.0,40362.4,40782.7,364801
31,1645146000000,40559.7,40597.7,40361.9,40367.0,123213
32,1645144200000,40589.4,40673.1,40365.0,40562.8,129541
33,1645142400000,40505.6,40597.0,40267.6,40589.5,247208
34,1645140600000,40652.1,40656.5,40441.4,40500.6,139082
35,1645138800000,40705.6,40750.0,40584.3,40652.1,116636
36,1645137000000,40521.2,40705.6,40517.3,40705.6,66102
37,1645135200000,40660.9,40750.0,40405.7,40521.2,135008
38,1645133400000,40273.5,40750.0,40241.2,40661.0,299541
39,1645131600000,40877.4,40942.9,40015.9,40273.5,680762
40,1645129800000,40984.1,41089.1,40837.3,40878.0,230719
